Date,CoinMarketCap
2017-12-27,15838.5
2017-12-26,16099.8
2017-12-25,14026.6
2017-12-24,13925.8
2017-12-23,14699.2
2017-12-22,13831.8
2017-12-21,15802.9
2017-12-20,16624.6
2017-12-19,17776.7
2017-12-18,19114.2
2017-12-17,19140.8
2017-12-16,19497.4
2017-12-15,17706.9
2017-12-14,16564
2017-12-13,16408.2
2017-12-12,17415.4
2017-12-11,16936.8
2017-12-10,15455.4
2017-12-09,15178.2
2017-12-08,16569.4
2017-12-07,17899.7
2017-12-06,14291.5
2017-12-05,11916.7
2017-12-04,11657.2
2017-12-03,11323.2
2017-12-02,11074.6
2017-12-01,10975.6
2017-11-30,10233.6
2017-11-29,9888.61
2017-11-28,10058.8
2017-11-27,9818.35
2017-11-26,9330.55
2017-11-25,8790.92
2017-11-24,8253.69
2017-11-23,8038.77
2017-11-22,8253.55
2017-11-21,8071.26
2017-11-20,8200.64
2017-11-19,8036.49
2017-11-18,7790.15
2017-11-17,7708.99
2017-11-16,7871.69
2017-11-15,7315.54
2017-11-14,6635.75
2017-11-13,6559.49
2017-11-12,5950.07
2017-11-11,6357.6
2017-11-10,6618.14
2017-11-09,7143.58
2017-11-08,7459.69
2017-11-07,7144.38
2017-11-06,7022.76
2017-11-05,7407.41
2017-11-04,7379.95
2017-11-03,7207.76
2017-11-02,7078.5
2017-11-01,6767.31
2017-10-31,6468.4
2017-10-30,6130.53
2017-10-29,6153.85
2017-10-28,5753.09
2017-10-27,5780.9
2017-10-26,5904.83
2017-10-25,5750.8
2017-10-24,5526.64
2017-10-23,5930.32
2017-10-22,6008.42
2017-10-21,6031.6
2017-10-20,6011.45
2017-10-19,5708.52
2017-10-18,5590.69
2017-10-17,5605.51
2017-10-16,5725.59
2017-10-15,5678.19
2017-10-14,5831.79
2017-10-13,5647.21
2017-10-12,5446.91
2017-10-11,4826.48
2017-10-10,4781.99
2017-10-09,4772.02
2017-10-08,4610.48
2017-10-07,4426.89
2017-10-06,4370.81
2017-10-05,4328.41
2017-10-04,4229.36
2017-10-03,4317.48
2017-10-02,4409.32
2017-10-01,4403.74
2017-09-30,4338.71
2017-09-29,4163.07
2017-09-28,4174.73
2017-09-27,4200.67
2017-09-26,3892.35
2017-09-25,3926.07
2017-09-24,3682.84
2017-09-23,3792.4
2017-09-22,3630.7
2017-09-21,3631.04
2017-09-20,3905.95
2017-09-19,3924.97
2017-09-18,4065.2
2017-09-17,3582.88
2017-09-16,3625.04
2017-09-15,3637.52
2017-09-14,3154.95
2017-09-13,3882.59
2017-09-12,4130.81
2017-09-11,4161.27
2017-09-10,4122.94
2017-09-09,4226.06
2017-09-08,4228.75
2017-09-07,4599.88
2017-09-06,4597.12
2017-09-05,4376.53
2017-09-04,4236.31
2017-09-03,4582.96
2017-09-02,4578.77
2017-09-01,4892.01
2017-08-31,4703.39
2017-08-30,4565.3
2017-08-29,4579.02
2017-08-28,4382.66
2017-08-27,4382.88
2017-08-26,4352.4
2017-08-25,4371.6
2017-08-24,4334.68
2017-08-23,4151.52
2017-08-22,4100.52
2017-08-21,4001.74
2017-08-20,4087.66
2017-08-19,4193.7
